title,link,price,condition,processor,ssd,gpu,release_year,screen_size,ram,model
"Dell Latitude Laptop PC 11.6"" HD Intel Celeron 4GB RAM 64GB SSD Windows 11
Opens in a new window or tab",https://www.ebay.com/itm/254170214367?_skw=laptop&itmmeta=01K8Y89AKM44NMMRNKRVKT3PGE&hash=item3b2db9afdf:g:p2gAAeSwIcBo3h2G&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cUc6ezoNf8fAc9gUGLAM%2BHWrISAZdAON2EAD%2BlmDRed7rfwbjBTudX6N1e70RFx2M904C%2B2%2BYGlnIabHIdIERFk72Absz4rh4W7uXrohcLL%2Fsvit82RdUtjokFlOdKwg15OilUepgu89HNkT28cTurwXfxJxAvENdcEEGkhjDO7S3L%2BthGqR6u%2BsbnG5SZpdrMrPc9zCr0o7%2B9%2BEVXeghzXg99TEHf8W1dHUIoSIjVeg%3D%3D%7Ctkp%3ABlBMUJqqpcjHZg,$90.72,Good - Refurbished,Intel Celeron N4120,64 GB,Intel UHD Graphics 600,2018,11.6 in,4 GB,Dell Latitude 3190
"Lenovo 14"" FHD Laptop - Core i3 - 8GB RAM - 256GB Storage - Win 11 (82QC006KUS)
Opens in a new window or tab",https://www.ebay.com/itm/386851060131?_skw=laptop&epid=18065260702&itmmeta=01K8Y89AKNKZDW5P1C73TQY38S&hash=item5a121eb9a3:g:OrgAAOSwIotnRJRG&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cbtUxA6MLn6q88fS3ocwql1FRmQFzLJNw%2FnMw7CR3NSEGU4HRUdLNSReddzot%2FAFsNmV6MWdHLKbIUposxpWb2ovZz26qfNNdbwS7d35MvTXaoQRyVrXJLY%2FXbeOsHW78X6wJz62jUYHboT%2FlUKasXDSdueCMYuJGEkQ8HrhwxlXXP%2FMswFZzYeNKCZsQOIZDHNtA0I91XPAAzP5WKUY%2FfFxvvIC37CjYIq4AfmAiGCQ%3D%3D%7Ctkp%3ABlBMUJqqpcjHZg,$199.99,Open box,Intel Core i3 i3-1215U,256 GB,Intel UHD Graphics,2024,14 in,8 GB,82QC006KUS
"Panasonic CF-20 Core M5-6Y57 8GB RAM 256GB Hard Drive MK1 *PLEASE READ*
Opens in a new window or tab",https://www.ebay.com/itm/286823939471?_skw=laptop&itmmeta=01K8Y89AKNXQG5ADNTE20NWC64&hash=item42c809fd8f:g:kaAAAeSwO~loxU7E&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cQko5sFyr2N1JTfhgvL%2B4pTy0tys2xRkWiIYJe4ErS4qF5tjoFcl2PTvty6QNFDghjweFinCjnflmmVX3hkYEsStLw2oFQrlzn1Qf3U7hWS%2FgXlCQemOyIGh7VnmO10UMLNGp6kv5Qi1hOA8S1iOa8swm5r4rVOhHVQHaW5j4DkLOIzsxvy8PPn8ehf3pvbJPNwSZ2nrW94pmu05aZuMpQG5eEEVu%2F7Jg%2Bef%2F4553SmQ%3D%3D%7Ctkp%3ABlBMUJqqpcjHZg,$122.22,Used,Intel Core m5 6th Gen.,256 GB,,,10.1 in,,Panasonic CF-20
"Dell Latitude 3190 2-in-1 Touch Laptop Intel Pentium 8GB RAM 128GB SSD Win 11
Opens in a new window or tab",https://www.ebay.com/itm/254754472823?_skw=laptop&epid=15032171267&itmmeta=01K8Y89AKNBHZ1WG0HFQ3WMFYQ&hash=item3b508cc377:g:BHAAAeSwnu5pAvdL&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cFOXFrEX1K2EXFWO8f5b0jdL1GbU2pZ39IoBRQKaXUkrpy8Kz9G0rOao58KFLGnGSVkPFYAKaEo4OYS6Pndh9621wnXr%2Fx2ctQxfmoD1d%2FHEPQ45fen8K0AcRn04BKBy2y8rqmiQi5iiys7YNuA6NlhjPmpbi0NUwRdlXTXXydoCzO3p9pmrKOHPV3F13ZjcWV668Snm4KdOKbzEf7yha16A5IK6DKp8%2FL4VIgO1OMFA%3D%3D%7Ctkp%3ABlBMUJqqpcjHZg,$119.68,Good - Refurbished,Intel Pentium Silver N5030,128 GB,Intel UHD Graphics,2018,14 in,8 GB,Dell Latitude 3190 2-in-1
"Dell Latitude 3190 Laptop Computer PC Intel Celeron 4GB RAM 64GB SSD Windows 11
Opens in a new window or tab",https://www.ebay.com/itm/255080719892?_skw=laptop&epid=238317140&itmmeta=01K8Y89AKNPCFKDNBT4M97CKJV&hash=item3b63fee614:g:BjQAAeSwtdJo24bc&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1d%2BJ5PJ8Fm9R11Bp51fF6CB1cWRdbYqTyqFooAm3fTeC2fItvVC9z7e99pP8w8UPNV9MUMu00xHmUVevdRTpIlCIE%2FU%2F7cxAjN7QfmuxsX6QEOCbc92vWhoWjK4NuqZLe0oWL45VKuj%2BWpcyHKBUjf9BTlAycCnOa5oeghjX1F8QLB5yqHfSl8WaEqi6K%2FDBCepjig3Txx8NtT5kMteHBlXM%2B%2FeZTBTSHrPcy%2BQfwwhjA6vBoMwd2ombddpESVhr8KZgyFlfsPUa%2B0VLAVcfvVU%7Ctkp%3ABk9SR5qqpcjHZg,$99.50,Good - Refurbished,Intel Celeron N4120,64 GB,Intel UHD Graphics 600,2018,11.6 in,4 GB,Dell Latitude 3190
"Lenovo 100e Gen 2 11.6” Laptop Computer Intel 4GB RAM 64GB SSD Windows 11 Pro PC
Opens in a new window or tab",https://www.ebay.com/itm/266791101115?_skw=laptop&itmmeta=01K8Y89AKNJRZMGM2DZ55GFWY6&hash=item3e1dfd22bb:g:JloAAeSwt6Roppaz&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1f5Cg3irAF2QCgWBxTB0EkMEK0JW%2Bzhg1VNUfgzwNlnFOzQYCRXQPJOa%2BtL%2FdiPd73bACsJH2vaVryrt3PwXfPM2nW5u7yKx5E2Syk%2Bg--hRWJtOjN8pJdAuvAIuDQjxfbv9RvMVPW%2FyXFVzq7EDo0Rnyr0GfwwqB6wScHZS1EZD2zGcHhDCCBK0MMoyTg4BJ1EBdYu3RTvOyFr4cKZVOTJr9B%2FPgpPBQ7WmXRn0F%2FTNA%3D%3D%7Ctkp%3ABk9SR5qqpcjHZg,$130.55,Good - Refurbished,Intel Celeron N,64 GB,Intel UHD Graphics 600,2019,11.6 in,4 GB,Lenovo 100e Gen 2
"Lenovo ThinkPad X200 Laptop 12"" Intel Core 2 Duo P8600 2.4 GHz
Opens in a new window or tab",https://www.ebay.com/itm/157420632476?_skw=laptop&itmmeta=01K8Y89AKNYVDP62443CGB73JR&hash=item24a700399c:g:afgAAeSw4c9o~qlX&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ci1EuY2%2BXTWw9wap8H5hg9mMvkQS%2FFZnJg891y8RYOBY4jvURUiAakFLVzxvmgWaHUHMUJg4NrON0x0dSUhv6kTqIW3m3hQoxreQHh7YfFgAFg5oJa3xyeFFOVKRT2csu7Wlc%2BdDYDAqRP5b5s1DVswJLwxqgmY4QsKu2SmYb8vjmoaMjVVz5kiTWUBK9vWH1bbHGEDRCQYJCHAq8g%2FXqU85bqXrIdO5chRDup1VhBBQ%3D%3D%7Ctkp%3ABk9SR5qqpcjHZg,$142.50,,,,,,,,
"HP ZBook Studio G5 Mobile i7-9850H 2.6GHz 32GB RAM 512GB SSD 15.6in Win10Pro COA
Opens in a new window or tab",https://www.ebay.com/itm/277473458450?_skw=laptop&itmmeta=01K8Y89AKNPZN79DBNDQ814RHA&hash=item409ab4f912:g:L1kAAeSwS6xpAidP&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ezT%2BFIuEeLb%2BWOBBOzhQAh42kUkriZ0bSjIGRRDJ5TQhdbET4hgby6HSRyRt%2FAKxjasj2pS--Ti%2Fs5IccguT8xxfLTlHiKbFU8xsxtnll7RQnnlPfLfjGDy%2BiKfXxrxozK7S6fz6ZXW7Why8RKJMmtcgIsTogBbJ4NS%2FH3mjoljdYn2dSgv1bEjMU9TYdB8iKhvnrnsFQQ0T72VNLloYmeEqgW4L0HqomNQRzxSngFWA%3D%3D%7Ctkp%3ABk9SR5qqpcjHZg,$194.99,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ... Read more
about the condition",Intel Core i7-9850H,,,,"15""",,Zbook Studio G5
"NEW LISTINGDell Latitude 3390 2in1 i5-8350U 8GB 128GB SSD WIN11 Pro Notebooks Laptops PC
Opens in a new window or tab",https://www.ebay.com/itm/187699482522?_skw=laptop&itmmeta=01K8Y89AKNXSNW2B576YG96FH2&hash=item2bb3c2cf9a:g:lhQAAeSw5jdo5V5W&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dpaSt1bNzbJT6B0eRUiJbvt8SfWLipmCHkxwvgd%2BaHDWiK%2BKy1UOrwn%2BViG%2FiokWsMbRia9cxs%2BTh3h8VHb8fh5q9o5dK5RFBgRphZI83x99aCpv5n18H9VKWCi45N3o1ja4MTUWv3vjyb9BqFNM%2BLJEAH4ZmBIABaMoU8i9qL%2BWN1nzptJr0cRL1b1%2BUDkRa6mBvZcr9VRq9lXcqsrKHv094n1mB0Nt3F6xqjzkXotNE58zVBuyydqAZLdWWpKZ8pnS8dsDNVViP3VRSSUjmB%7Ctkp%3ABk9SR5yqpcjHZg,$80.00,Used,Intel Core i5-8350U,128 GB,,,14 in,8 GB,Dell Latitude 3390 2-in-1
"Acer TravelMate P614-51 14"" FHD i5-8365U 16GB 128GB SSD Windows 11 Pro Laptop
Opens in a new window or tab",https://www.ebay.com/itm/297723867916?_skw=laptop&itmmeta=01K8Y89AKNMT5CHF8KVB3HNE24&hash=item4551b9b30c:g:V1kAAeSwEclpA7xo&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1c4lVzC2vD23QKc49%2FK4%2B3yEJPCDT%2BQ%2FjOzKKNg%2BNbaZN4DiU7WgHSb1EiblgQB%2BbW8cl3N1FfsU3pAWGGJOrQR8DhRRJeXa1%2BLuG7RifI7T8pYe%2Bml8Pw4zoAg2znYqvckS2WCJ1nohg5gw7mp3Y82%2BIJHUriMA%2FUDCzx5xA8IIPj4HX2wF4L1eJZHsQXS9IUgC9sVs9YPCqm2HAy4jnqyRj3mJ9X1X%2FCEbtE94HSzdFtNGOQI5o0V%2FaYbyJXzX0afhjuneIM6T9HTZIiqys%2Bs%7Ctkp%3ABk9SR5yqpcjHZg,$89.95,Used,Intel Core i5 8th Gen.,128 GB,Intel UHD Graphics 620,,14 in,16 GB,Acer TravelMate P614-51
