title,link,condition,processor,ssd,gpu,releaseyear,size,ram,model
"Lenovo ThinkPad 14” Business Laptop Intel Core i5 16GB RAM 512GB SSD Win 11 Pro
Opens in a new window or tab",https://www.ebay.com/itm/256942721121?_skw=laptop&itmmeta=01K8945N0V6RQHEF78PBTKWM3Z&hash=item3bd2fac861:g:9jYAAeSwRglo9ywy&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dAIWcAqagTAAHA9BDV0aVDMYuK977S45GH8o1lkA04IbPVeqfLIvRoAmFdB7Sp%2FaDB6KXllGUmbgl7Jsokb2croxspKxkXegLETfjL2DXKuFA3OWFQRIVncqa0xS8yQ6YjEcSCMm1MAgUUQSCeP%2F4NmXO%2F9zIadw7fL5iXyeZrgwcSE88lA%2FCXHthIKUr2hlGX53TbRdYoQDuH7pMKhkQh17zeL31Pqes2L7II6KGSVg%3D%3D%7Ctkp%3ABlBMUPLQlqTCZg,Good - Refurbished,Intel Core i5-8250U,512 GB,Intel UHD Graphics 620,2018,14 in,16 GB,Lenovo ThinkPad T480
"Dell Latitude 3410 Laptop PC Computer Core i3 14"" 16GB RAM 256GB SSD Windows 11
Opens in a new window or tab",https://www.ebay.com/itm/254648554969?_skw=laptop&itmmeta=01K8945N0V77D8WK36HWK3K877&hash=item3b4a3c95d9:g:23IAAeSwixlo-eMf&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cbbgO8rkwGaSowxA1ZKmYc6PzqwPApAJBB9htzv1m7VVmh3AfrznbR81EvWvRD7ozNx0Un2RtGFDR5XMJiQIBhewPuaTY%2FeBaLPiwixXhae3tEkDDOaZ%2BMZKmZOOdssx3QJwBeZI3eoyQ7we0LcNcgzOuE%2FxDpLoNRqGFV%2F09hHyXIA1A%2FcmAVvDSwsI1iCGnYQ0NaJ8%2BECPDJbQR61%2Fssxua%2F8kH9NHEgdAYpkCvoIw%3D%3D%7Ctkp%3ABlBMUPLQlqTCZg,Good - Refurbished,Intel Core i3-10110U,256 GB,Intel UHD Graphics,2020,14 in,16 GB,Dell Latitude 3410
"Lenovo ThinkPad T480 Business Laptop 14” Core i5 16GB RAM 512GB SSD Win 11 Pro
Opens in a new window or tab",https://www.ebay.com/itm/256629770691?_skw=laptop&itmmeta=01K8945N0VEJPTK1VET4W19A6Y&hash=item3bc05389c3:g:~U8AAeSwkQ1o-bOq&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1foB5ZkMw%2FkuVmZDgrZ4tPxdYK%2BsetnxuJKY8XYVmksnx82HlnNZjRmMLoElMit7oT7iyUyRP4chqpxm4y1Ci9Hjj5t5TKa8wB35y1FSTpuX2rdxC5zWUZql6tntZ%2Fag2GYVKK17AIcXj58NFYkGQrlcSb9J3RPsPIcv6Y6jt%2BVRQoxTXOq3kbamDjjk7CbHd7DQRaWvr2hNvR3HK7I3HTf%2Ffv2g7eehM8p7FIQuTK8Sg%3D%3D%7Ctkp%3ABlBMUPLQlqTCZg,Good - Refurbished,Intel Core i5-8250U,512 GB,Intel UHD Graphics 620,2018,14 in,16 GB,Lenovo ThinkPad T480
"Dell Latitude Laptop Computer PC Intel i5 Up To 32GB RAM 1TB SSD Windows 11
Opens in a new window or tab",https://www.ebay.com/itm/286393092388?_skw=laptop&itmmeta=01K8945N0VJ1SDZM6HRHDKD8M4&hash=item42ae5bc924:g:x2oAAeSwFyRo-PIG&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1d6aXcsBLilrZYpd3zKnlKiReeizGvIo6DPz5m0hiKmjMB1Gq6cAb%2FFC7%2B2IaY6zYjYeb4o%2BQP56saUCFm33W2%2BMZ3grwomKyIk3POeTzhmAWGuI%2F3rrcQDj1rvh1y5jZxY9Gr9Yv5cu1aDc2%2B2SsI6yOb0IKj77Qwa3V4pKo9CRXewL2uJ%2FksV5ezocECRJdHMikI%2BmP5ff8NFX1HQnkU%2FSN8fWW4fPc%2BSltMQ73aFxA%3D%3D%7Ctkp%3ABlBMUPLQlqTCZg,Good - Refurbished,Intel Core i5 12th Gen.,1 TB,Intel Iris Xe Graphics,2022,14 in,32 GB,Dell Latitude 5430
"NEW LISTINGDell Latitude 5400 14"" Core i5-8365U 1.60GHz 8GB 128GB SSD W11 Laptop (A9299)
Opens in a new window or tab",https://www.ebay.com/itm/376643997298?_skw=laptop&itmmeta=01K8945N0VZFH3Z2YB95EREMF8&hash=item57b1bb4e72:g:bzMAAeSwY~po-kZT&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fX%2B1Rj8T2fwlGRIBbvuv9whhhg%2BxY18tuvRnvhFmwjV3NxHX9XeYKZeTkuYN%2FCxVCJzycEZuUys4PS5zVLPOSV5aPvnS8Nfic8e35zul0EHJdD5lBC064BePiE01TTjJWPvKsa4Bp5zOhbWy0%2BilJFBV1qKCDvI%2BZDPHTMoAzaJft3gTVZa84H4z50r30FJygpMYT4Q6OAv9fRjv2JvOagXJPPFTwvUzbrFdg1JdqxXw%3D%3D%7Ctkp%3ABk9SR_LQlqTCZg,Used,Intel Core i5-8365U,128 GB,,,14 in,8 GB,Dell Latitude 5400
"Dell Latitude Laptop Light Gaming PC Core i7 16GB RAM 512GB SSD Windows 11 Pro
Opens in a new window or tab",https://www.ebay.com/itm/264714553889?_skw=laptop&itmmeta=01K8945N0VZXEQ62VJD305NW32&hash=item3da2378a21:g:QJwAAeSwT25o3TS7&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1c9LPIiKLO7h82TA%2FMI8PcmoEpD%2FWvSjd3aEqj%2BLID6nYfI5%2FvpBZPO4U3zlEmwqBxV4zy%2BKipATypUMinfci%2F3qu8dpXPTfL%2BMEUrfHJXqTAwN4mu%2FTY4sKO%2FQZRbzyrDHnWchB7YzXyjKdMQrnQw4Z6vgwftKRIgE1U%2BgbR%2Bhu5pBkXoPiHUqtydL4t5kcHhui%2F5vY%2BN0dt6%2BswICQA5viVN6BdiYPK8pTYyXTK%2BkTjWF%2BLoeb9D%2FwI%2F5vLZZUrseNR9S%2Bq9RNUsvA2%2FRQMGK%7Ctkp%3ABk9SR_LQlqTCZg,Good - Refurbished,Intel Core i7-1185G7,512 GB,Intel Iris Xe Graphics,2021,14 in,16 GB,Dell Latitude 5420
"2025 Lenovo IdeaPad Laptop Notebook 15.6 Intel Processor Upto 20GB RAM 1TB SSD
Opens in a new window or tab",https://www.ebay.com/itm/146493392451?_skw=laptop&itmmeta=01K8945N0VC10SAK30K09C0ACW&hash=item221bafc643:g:OrUAAOSweZ1n7bDV&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1f2%2BKAwVTuHdidrUPVIG3zC4p4oo360cfZrvZdDaGOrODmSc8hzHrPm5WyVBUL4B1rJZZmTG3FDhTqKwhyZ%2FGey9O6sm99fQ6tjpGUIYc6l22n4FR2VyaODsb0w0%2BxM8dg740obSoLeWrvwHlKavtFp%2BKupjB2X2ILduF9HtQRZkx4uI2h9MPLaMDxh5KBar6Jifpyu1teFdWui%2BAc4eLk9F6F1ArbeAlR89KqukZZeSw%3D%3D%7Ctkp%3ABk9SR_LQlqTCZg,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... Read more
about the condition",Intel Celeron N4500,Up to 1 TB SSD,Intel UHD Graphics,2025,15.6 in,Up to 20 GB,Lenovo IdeaPad 1
"HP EliteBook 14” FHD AMD Ryzen 5 PRO Laptop PC Up To 32GB RAM 1TB SSD Windows 11
Opens in a new window or tab",https://www.ebay.com/itm/256879744174?_skw=laptop&itmmeta=01K8945N0VQVQYVH8SQ8KKM4QS&hash=item3bcf39d4ae:g:-UoAAeSw76xokNBn&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fyIOyX48EGcv06%2Bx5yR4j%2BYgBRxMvj4viLWiw2aSMvGhtiuks%2BwkVhpkWmHJ58EFVivxb32pTLq4QaYesJgZXpYQrFG2xqyPqVlCkFBE2NZsjSGmlSo1VGXmIEOiFtnG8uw%2FCU%2B3CnxdvKRQwQoO3B%2FjWv2OvAmKo7FAcPZwLniJg6UbkKs8Mc8WeIAswW22U%2FrjbXpp%2BbdfAnJWrFv6fhNj8Vc1b8DdN%2FQQi1Zh%2BA2b0YFDUr%2B%2FR8ynoPvNWXRXC0%2FwiuohW6ubn62zO0iLsu%7Ctkp%3ABk9SR_TQlqTCZg,Excellent - Refurbished,AMD Ryzen 5 PRO 5000 Series,1 TB,AMD Radeon Graphics,2020,14 in,32 GB,HP EliteBook 845 G8
"Dell Latitude 5590 i5-7300U 2.60GHz 8GB 128GB SSD WIN10 Laptop Notebook PC
Opens in a new window or tab",https://www.ebay.com/itm/297703572553?_skw=laptop&itmmeta=01K8945N0VXZBPTTGFA6YPW0Z9&hash=item4550840449:g:uOUAAOSwAxhoUY4a&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fw2dnDM5OxVVYal6lGVHMWWiQIka2E22kwThmYmulCRQ%2B8dGakEtEgDq62mFax3NfSZMfzqhmNQygWhU%2FnN01dOLSn126AGHuGGgPsR0VZVLbF5Rm5HbP60OxY3r35zWNNLJmyfjAudS6nQ12oCkgNJIrxSQWNZ75nXY%2BMTtsIVmJ8iCBvH4EN5jgVWgqTsF5%2BqtvxEC0xUk7EOlEHJ9sJeuPFelvwjR1BTYAzC7zhUA%3D%3D%7Ctkp%3ABk9SR_TQlqTCZg,,,,,,,,
"Acer Aspire 3-15.6"" Laptop AMD Ryzen 5 2.8GHz 16GB 1TB SSD Certified Refurbished
Opens in a new window or tab",https://www.ebay.com/itm/266889342994?_skw=laptop&epid=18068847248&itmmeta=01K8945N0V0E25VW0QH93Z27NW&hash=item3e23d83012:g:fNUAAOSwN91njmwe&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1erO02AHednCyST8iQIx6ODZbNOofCVb4BLYggylXlbswj2Fu8F9%2Br7M9yX1w7VFy6AxTuZZ71VTeBHIKJ0t%2FifbcmV6Vb4wH8JMuO6m8Tio6eON%2BWWP6oBmmsxA1%2BFzN0611AtatrgsFR17QzuqD9TFS1L7igvqDL3p4n182n6lBFXz6EdTj9Cc6rDQcilPCPIntcYuuRu0TlrQ2BqrmyCFsZnHhsbbYRI4zgw88x%2BCg%3D%3D%7Ctkp%3ABk9SR_TQlqTCZg,Certified - Refurbished,AMD Ryzen 5 7520U 2.80 GHz,1 TB,AMD Radeon Graphics,,15.6 in,16 GB,Aspire 3 15 A315-24PT-R288 Notebook
